Assembly	final_contigs
# contigs (>= 0 bp)	15
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	7221
Total length (>= 1000 bp)	5419
Total length (>= 5000 bp)	5419
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	5419
Total length	7016
Reference length	808870899
GC (%)	45.91
Reference GC (%)	41.35
N50	5419
N75	5419
L50	1
L75	1
# misassemblies	3
# misassembled contigs	1
Misassembled contigs length	5419
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	9 + 0 part
Unaligned length	1597
Genome fraction (%)	0.001
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	2132
Total aligned length	5342
NA50	1935
NGA50	-
NA75	449
LA50	2
LA75	4
