Assembly	final_contigs
# contigs (>= 0 bp)	73
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	11797
Total length (>= 1000 bp)	5441
Total length (>= 5000 bp)	5441
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	73
Largest contig	5441
Total length	11797
Reference length	808870899
GC (%)	47.10
Reference GC (%)	41.35
N50	272
N75	69
L50	3
L75	26
# misassemblies	3
# misassembled contigs	1
Misassembled contigs length	5441
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	72 + 0 part
Unaligned length	6356
Genome fraction (%)	0.001
Duplication ratio	1.010
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	2805
Total aligned length	5364
NGA50	-
